Timestamp,Record,Chlugl,Depthm,DOmgL,DOPerSat,fDOMQSU,fDOMRFU,pH,Salinitypsu,SpCondmS,TemperatureDegC,TurbNTU
2024-01-03 07:35:42,112,,0.023,8.38,,-2.37,,8.19,0,,27.949,
2024-01-03 08:05:42,113,,0.022,8.37,,-2.5,,8.21,0,,28.058,
2024-01-03 08:35:42,114,,0.018,8.34,,-2.42,,8.2,0,,28.326,
2024-01-03 09:05:42,115,,0.017,8.28,,-2.05,,8.15,0,,28.669,
2024-01-03 09:35:42,116,,0.017,8.28,,-1.96,,8.16,0,,28.783,
2024-01-03 10:05:42,117,,0.018,8.26,,-2.4,,8.13,0,,28.884,
2024-01-03 10:35:42,118,,0.017,8.28,,-2.13,,8.16,0,,28.762,
2024-01-03 11:05:42,119,,0.014,8.27,,-2.1,,8.16,0,,28.866,
2024-01-03 11:35:42,120,,0.01,8.24,,-1.84,,8.13,0,,28.961,
2024-01-03 12:05:42,121,,0.007,8.27,,-1.9,,8.19,0,,28.917,
2024-01-03 12:35:42,122,,0.006,8.26,,-2.45,,8.15,0,,28.889,
2024-01-03 13:05:42,123,,0.003,8.25,,-2.4,,8.18,0,,28.973,
2024-01-03 13:35:42,124,,0,8.24,,-2.19,,8.19,0,,29.087,
2024-01-03 14:05:42,125,,-0.001,8.23,,-2.11,,8.21,0,,29.184,
2024-01-03 14:35:42,126,,0.003,8.21,,-2.18,,8.21,0,,29.373,
2024-01-03 15:05:42,127,,0.001,8.14,,-1.84,,8.28,0,,29.939,
2024-01-03 15:35:42,128,,0.004,8.14,,-2.08,,8.26,0,,29.926,
2024-01-03 16:05:42,129,,0.005,8.15,,-1.97,,8.28,0,,29.815,
2024-01-03 16:35:42,130,,0.006,8.15,,-2.04,,8.29,0,,29.909,
2024-01-03 17:05:42,131,,0.008,8.15,,-1.93,,8.32,0,,29.901,
2024-01-03 17:35:42,132,,0.012,8.17,,-1.9,,8.37,0,,29.836,
2024-01-03 18:05:42,133,,0.013,8.19,,-2.13,,8.41,0,,29.747,
2024-01-03 18:35:42,134,,0.014,8.21,,-2.28,,8.41,0,,29.616,
2024-01-03 19:05:42,135,,0.014,8.22,,-2.12,,8.42,0,,29.479,
2024-01-03 19:35:42,136,,0.014,8.23,,-2.07,,8.41,0,,29.372,
2024-01-03 20:05:42,137,,0.012,8.25,,-1.96,,8.41,0,,29.25,
2024-01-03 20:35:42,138,,0.013,8.26,,-1.85,,8.39,0,,29.199,
2024-01-03 21:05:42,139,,0.016,8.24,,-1.81,,8.34,0,,29.238,
2024-01-03 21:35:42,140,,0.017,8.23,,-2.45,,8.26,0,,29.214,
2024-01-03 22:05:42,141,,0.017,8.22,,-2.07,,8.2,0,,29.192,
2024-01-03 22:35:42,142,,0.018,8.21,,-1.99,,8.15,0,,29.238,
2024-01-03 23:05:42,143,,0.015,8.26,,-2.05,,8.2,0,,28.988,
2024-01-03 23:35:42,144,,0.012,8.25,,-1.93,,8.19,0,,29.057,
2024-01-04 00:05:42,145,,0.012,8.23,,-2,,8.17,0,,29.128,
2024-01-04 00:35:42,146,,0.008,8.23,,-2.06,,8.16,0,,29.067,
2024-01-04 01:05:42,147,,0.005,8.23,,-1.7,,8.17,0,,29.049,
2024-01-04 01:35:42,148,,0.005,8.23,,-2.04,,8.18,0,,29.062,
2024-01-04 02:05:42,149,,0.003,8.23,,-2,,8.13,0,,29.027,
2024-01-04 02:35:42,150,,0.002,8.24,,-2.33,,8.14,0,,28.954,
2024-01-04 03:05:42,151,,0.004,8.25,,-1.94,,8.15,0,,28.904,
2024-01-04 03:35:42,152,,0.004,8.29,,-2.06,,8.15,0,,28.556,
2024-01-04 04:05:42,153,,0.003,8.29,,-2.06,,8.13,0,,28.541,
2024-01-04 04:35:42,154,,0.006,8.37,,-1.99,,8.15,0,,28.005,
2024-01-04 05:05:42,155,,0.012,8.42,,-1.95,,8.18,0,,27.686,
2024-01-04 05:35:42,156,,0.018,8.43,,-2.09,,8.18,0,,27.659,
2024-01-04 06:05:42,157,,0.023,8.44,,-1.82,,8.2,0,,27.595,
2024-01-04 06:35:42,158,,0.025,8.44,,-2.04,,8.2,0,,27.669,
2024-01-04 07:05:42,159,,0.027,8.43,,-1.87,,8.23,0,,27.747,
2024-01-04 07:35:42,160,,0.021,8.4,,-1.89,,8.25,0,,28,
2024-01-04 08:05:42,161,,0.018,8.36,,-2.34,,8.26,0,,28.268,
2024-01-04 08:35:42,162,,0.019,8.33,,-2.18,,8.26,0,,28.571,
2024-01-04 09:05:42,163,,0.017,8.28,,-2.46,,8.29,0,,28.94,
2024-01-04 09:35:42,164,,0.023,8.24,,-2.22,,8.29,0,,29.214,
2024-01-04 10:05:42,165,,0.022,8.21,,-2.27,,8.25,0,,29.363,
2024-01-04 10:35:42,166,,0.019,8.16,,-2.39,,8.19,0,,29.681,
2024-01-04 11:05:42,167,,0.017,8.16,,-1.8,,8.19,0,,29.814,
2024-01-04 11:35:42,168,,0.016,8.12,,-1.97,,8.25,0,,30.141,
2024-01-04 12:05:42,169,,0.011,8.13,,-2.16,,8.24,0,,30.01,
2024-01-04 12:35:42,170,,0.009,8.15,,-2.07,,8.24,0,,29.92,
2024-01-04 13:05:42,171,,0.008,8.1,,-1.94,,8.26,0,,30.111,
2024-01-04 13:35:42,172,,0.008,8.15,,-1.85,,8.23,0,,29.842,
2024-01-04 14:05:42,173,,0.004,8.15,,-2.13,,8.24,0,,29.815,
2024-01-04 14:35:42,174,,0.002,8.15,,-1.85,,8.27,0,,29.821,
2024-01-04 15:05:42,175,,0.001,8.14,,-1.88,,8.31,0,,29.982,
2024-01-04 15:35:42,176,,-0.001,8.09,,-2.01,,8.34,0,,30.409,
2024-01-04 16:05:42,177,,-0.002,8.07,,-1.98,,8.4,0,,30.615,
2024-01-04 16:35:42,178,,-0.002,8.05,,-1.92,,8.39,0,,30.755,
2024-01-04 17:05:42,179,,0,8.02,,-2.08,,8.4,0,,31.013,
2024-01-04 17:35:42,180,,0.004,8,,-1.61,,8.42,0,,31.107,
2024-01-04 18:05:42,181,,0.007,8.02,,-1.65,,8.44,0,,31.069,
2024-01-04 18:35:42,182,,0.012,8.03,,-1.8,,8.46,0,,30.996,
2024-01-04 19:05:42,183,,0.014,8.05,,-1.64,,8.48,0,,30.857,
2024-01-04 19:35:42,184,,0.017,8.06,,-1.67,,8.46,0,,30.734,
2024-01-04 20:05:42,185,,0.019,8.08,,-1.33,,8.47,0,,30.58,
2024-01-04 20:35:42,186,,0.022,8.11,,-1.65,,8.47,0,,30.412,
2024-01-04 21:05:42,187,,0.026,8.13,,-1.98,,8.45,0,,30.153,
2024-01-04 21:35:42,188,,0.028,8.14,,-2,,8.43,0,,30.117,
2024-01-04 22:05:42,189,,0.028,8.13,,-2.35,,8.38,0,,30.165,
2024-01-04 22:35:42,190,,0.028,8.13,,-1.88,,8.35,0,,30.078,
2024-01-04 23:05:42,191,,0.027,8.14,,-1.77,,8.27,0,,29.912,
2024-01-04 23:35:42,192,,0.022,8.14,,-2.32,,8.19,0,,29.803,
2024-01-05 00:05:42,193,,0.013,8.15,,-2.18,,8.25,0,,29.78,
2024-01-05 00:35:42,194,,0.009,8.17,,-1.88,,8.25,0,,29.671,
2024-01-05 01:05:42,195,,0.004,8.16,,-1.87,,8.22,0,,29.701,
2024-01-05 01:35:42,196,,0.001,8.16,,-1.81,,8.21,0,,29.64,
2024-01-05 02:05:42,197,,0,8.16,,-1.94,,8.23,0,,29.648,
2024-01-05 02:35:42,198,,-0.001,8.16,,-2.11,,8.23,0,,29.629,
2024-01-05 03:05:42,199,,-0.003,8.16,,-2.06,,8.21,0,,29.595,
2024-01-05 03:35:42,200,,-0.003,8.16,,-2.19,,8.16,0,,29.51,
2024-01-05 04:05:42,201,,-0.002,8.17,,-1.64,,8.15,0,,29.453,
2024-01-05 04:35:42,202,,0,8.2,,-1.88,,8.19,0,,29.298,
2024-01-05 05:05:42,203,,0.004,8.2,,-1.9,,8.18,0,,29.238,
2024-01-05 05:35:42,204,,0.007,8.26,,-1.83,,8.17,0,,28.856,
2024-01-05 06:05:42,205,,0.012,8.31,,-2.19,,8.19,0,,28.553,
2024-01-05 06:35:42,206,,0.013,8.35,,-2.22,,8.22,0,,28.318,
2024-01-05 07:05:42,207,,0.016,8.34,,-2.16,,8.24,0,,28.368,
2024-01-05 07:35:42,208,,0.018,8.31,,-1.95,,8.23,0,,28.607,
2024-01-05 08:05:42,209,,0.018,8.3,,-2.04,,8.27,0,,28.736,
2024-01-05 08:35:42,210,,0.021,8.27,,-1.96,,8.29,0,,28.978,
2024-01-05 09:05:42,211,,0.023,8.23,,-1.99,,8.32,0,,29.309,
2024-01-05 09:35:42,212,,0.029,8.2,,-2.15,,8.32,0,,29.536,
2024-01-05 10:05:42,213,,0.03,8.17,,-1.55,,8.35,0,,29.769,
2024-01-05 10:35:42,214,,0.028,8.15,,-2.09,,8.35,0,,29.985,
2024-01-05 11:05:42,215,,0.026,8.16,,-2.03,,8.32,0,,29.899,
2024-01-05 11:35:42,216,,0.025,8.13,,-2.18,,8.31,0,,30.113,
2024-01-05 12:05:42,217,,0.022,8.08,,-2.31,,8.33,0,,30.514,
2024-01-05 12:35:42,218,,0.018,8.09,,-1.8,,8.3,0,,30.361,
2024-01-05 13:05:42,219,,0.015,8.06,,-1.93,,8.34,0,,30.714,
2024-01-05 13:35:42,220,,0.012,8.02,,-2.08,,8.34,0,,30.933,
2024-01-05 14:05:42,221,,0.012,8.08,,-2.09,,8.32,0,,30.478,
2024-01-05 14:35:42,222,,0.011,8.03,,-2.01,,8.37,0,,30.997,
2024-01-05 15:05:42,223,,0.012,8.04,,-1.99,,8.39,0,,30.934,
2024-01-05 15:35:42,224,,0.009,8.05,,-1.84,,8.37,0,,30.773,
2024-01-05 16:05:42,225,,0.009,8.05,,-1.65,,8.39,0,,30.895,
2024-01-05 16:35:42,226,,0.01,8.06,,-1.67,,8.37,0,,30.774,
2024-01-05 17:05:42,227,,0.015,8.05,,-1.78,,8.36,0,,30.754,
2024-01-05 17:35:42,228,,0.018,8.06,,-1.97,,8.35,0,,30.72,
2024-01-05 18:05:42,229,,0.022,8.06,,-1.94,,8.33,0,,30.613,
2024-01-05 18:35:42,230,,0.026,8.07,,-1.53,,8.38,0,,30.623,
2024-01-05 19:05:42,231,,0.026,8.08,,-1.82,,8.45,0,,30.607,
2024-01-05 19:35:42,232,,0.03,8.09,,-1.71,,8.45,0,,30.537,
2024-01-05 20:05:42,233,,0.034,8.1,,-1.84,,8.47,0,,30.485,
2024-01-05 20:35:42,234,,0.038,8.11,,-1.79,,8.46,0,,30.391,
2024-01-05 21:05:42,235,,0.04,8.13,,-2.1,,8.46,0,,30.246,
2024-01-05 21:35:42,236,,0.042,8.14,,-1.73,,8.43,0,,30.16,
2024-01-05 22:05:42,237,,0.041,8.15,,-1.86,,8.44,0,,30.007,
2024-01-05 22:35:42,238,,0.039,8.17,,-1.81,,8.42,0,,29.863,
2024-01-05 23:05:42,239,,0.037,8.19,,-1.59,,8.43,0,,29.69,
2024-01-05 23:35:42,240,,0.029,8.19,,-1.58,,8.4,0,,29.684,
2024-01-06 00:05:42,241,,0.024,8.15,,-1.99,,8.33,0,,29.849,
2024-01-06 00:35:42,242,,0.019,8.18,,-1.91,,8.32,0,,29.645,
2024-01-06 01:05:42,243,,0.016,8.18,,-2.03,,8.32,0,,29.653,
2024-01-06 01:35:42,244,,0.01,8.16,,-1.85,,8.3,0,,29.744,
2024-01-06 02:05:42,245,,0.01,8.16,,-1.73,,8.28,0,,29.691,
2024-01-06 02:35:42,246,,0.008,8.17,,-2.18,,8.27,0,,29.573,
2024-01-06 03:05:42,247,,0.008,8.17,,-2.34,,8.27,0,,29.559,
2024-01-06 03:35:42,248,,0.011,8.18,,-1.46,,8.26,0,,29.584,
2024-01-06 04:05:42,249,,0.014,8.19,,-1.82,,8.24,0,,29.435,
2024-01-06 04:35:42,250,,0.015,8.17,,-1.93,,8.21,0,,29.529,
2024-01-06 05:05:42,251,,0.31,0,,-1.93,,,0,,,
2024-01-06 05:35:42,252,,0.021,8.19,,-1.85,,8.19,0,,29.392,
2024-01-06 06:05:42,253,,0.024,8.23,,-1.97,,8.2,0,,29.19,
2024-01-06 06:35:42,254,,0.027,8.29,,-1.78,,8.21,0,,28.806,
2024-01-06 07:05:42,255,,0.029,8.3,,-2.15,,8.23,0,,28.679,
2024-01-06 07:35:42,256,,0.033,8.29,,-2.2,,8.23,0,,28.827,
2024-01-06 08:05:42,257,,0.034,8.27,,-1.96,,8.26,0,,28.989,
2024-01-06 08:35:42,258,,0.032,8.25,,-1.73,,8.28,0,,29.173,
2024-01-06 09:05:42,259,,0.038,8.22,,-1.69,,8.31,0,,29.466,
2024-01-06 09:35:42,260,,0.042,8.19,,-1.91,,8.33,0,,29.701,
2024-01-06 10:05:42,261,,0.044,8.18,,-2.18,,8.35,0,,29.82,
2024-01-06 10:35:42,262,,0.04,8.18,,-2.04,,8.36,0,,29.861,
2024-01-06 11:05:42,263,,0.037,8.17,,-2.13,,8.39,0,,29.918,
2024-01-06 11:35:42,264,,0.035,8.14,,-2,,8.41,0,,30.118,
2024-01-06 12:05:42,265,,0.033,8.14,,-2.02,,8.36,0,,30.106,
2024-01-06 12:35:42,266,,0.03,8.09,,-2.31,,8.38,0,,30.474,
2024-01-06 13:05:42,267,,0.028,8.09,,-1.98,,8.33,0,,30.382,
2024-01-06 13:35:42,268,,0.026,8.05,,-1.8,,8.39,0,,30.776,
2024-01-06 14:05:42,269,,0.025,8.07,,-1.97,,8.33,0,,30.535,
2024-01-06 14:35:42,270,,0.026,8.09,,-1.9,,8.32,0,,30.428,
2024-01-06 15:05:42,271,,0.025,8.08,,-1.55,,8.36,0,,30.558,
2024-01-06 15:35:42,272,,0.023,8.1,,-1.76,,8.28,0,,30.265,
2024-01-06 16:05:42,273,,0.023,8.11,,-1.85,,8.3,0,,30.242,
2024-01-06 16:35:42,274,,0.021,8.11,,-1.79,,8.3,0,,30.244,
2024-01-06 17:05:42,275,,0.023,8.11,,-1.92,,8.32,0,,30.263,
2024-01-06 17:35:42,276,,0.03,8.12,,-2.1,,8.29,0,,30.154,
2024-01-06 18:05:42,277,,0.032,8.15,,-1.96,,8.31,0,,30.043,
2024-01-06 18:35:42,278,,0.035,8.17,,-1.91,,8.33,0,,29.931,
2024-01-06 19:05:42,279,,0.035,8.2,,-1.96,,8.29,0,,29.585,
2024-01-06 19:35:42,280,,0.033,8.23,,-2.01,,8.27,0,,29.381,
2024-01-06 20:05:42,281,,0.035,8.25,,-1.8,,8.3,0,,29.295,
2024-01-06 20:35:42,282,,0.036,8.28,,-1.63,,8.33,0,,29.07,
2024-01-06 21:05:42,283,,0.038,8.3,,-1.77,,8.35,0,,28.956,
2024-01-06 21:35:42,284,,0.037,8.31,,-1.7,,8.35,0,,28.83,
2024-01-06 22:05:42,285,,0.036,8.31,,-1.96,,8.34,0,,28.785,
2024-01-06 22:35:42,286,,0.032,8.33,,-1.8,,8.34,0,,28.647,
2024-01-06 23:05:42,287,,0.028,8.33,,-1.88,,8.33,0,,28.557,
2024-01-06 23:35:42,288,,0.027,8.32,,-2.27,,8.31,0,,28.573,
2024-01-07 00:05:42,289,,0.024,8.27,,-2.29,,8.27,0,,28.846,
2024-01-07 00:35:42,290,,0.018,8.31,,-1.8,,8.26,0,,28.581,
2024-01-07 01:05:42,291,,0.017,8.26,,-1.81,,8.2,0,,28.792,
2024-01-07 01:35:42,292,,0.015,8.31,,-1.88,,8.21,0,,28.498,
2024-01-07 02:05:42,293,,0.013,8.3,,-1.77,,8.19,0,,28.537,
2024-01-07 02:35:42,294,,0.016,8.3,,-1.8,,8.2,0,,28.542,
2024-01-07 03:05:42,295,,0.017,8.27,,-1.65,,8.18,0,,28.712,
2024-01-07 03:35:42,296,,0.019,8.33,,-1.84,,8.18,0,,28.309,
2024-01-07 04:05:42,297,,0.024,8.32,,-1.98,,8.17,0,,28.366,
2024-01-07 04:35:42,298,,0.028,8.31,,-1.73,,8.18,0,,28.501,
2024-01-07 05:05:42,299,,0.031,8.31,,-1.78,,8.19,0,,28.529,
2024-01-07 05:35:42,300,,0.037,8.31,,-1.9,,8.16,0,,28.54,
2024-01-07 06:05:42,301,,0.04,8.31,,-1.86,,8.16,0,,28.505,
2024-01-07 06:35:42,302,,0.046,8.31,,-1.81,,8.15,0,,28.517,
2024-01-07 07:05:42,303,,0.045,8.36,,-1.71,,8.17,0,,28.21,
2024-01-07 07:35:42,304,,0.045,8.34,,-2.01,,8.17,0,,28.376,
2024-01-07 08:05:42,305,,0.041,8.32,,-2.12,,8.18,0,,28.514,
2024-01-07 08:35:42,306,,0.039,8.31,,-2,,8.21,0,,28.66,
2024-01-07 09:05:42,307,,0.04,8.3,,-2.19,,8.22,0,,28.745,
2024-01-07 09:35:42,308,,0.04,8.28,,-2.16,,8.23,0,,28.942,
2024-01-07 10:05:42,309,,0.04,8.27,,-1.93,,8.25,0,,29.093,
2024-01-07 10:35:42,310,,0.04,8.25,,-1.79,,8.24,0,,29.224,
2024-01-07 11:05:42,311,,0.045,8.23,,-2.31,,8.28,0,,29.422,
2024-01-07 11:35:42,312,,0.044,8.21,,-2.01,,8.31,0,,29.593,
2024-01-07 12:05:42,313,,0.039,8.17,,-1.79,,8.34,0,,29.891,
2024-01-07 12:35:42,314,,0.034,8.14,,-2.11,,8.36,0,,30.12,
2024-01-07 13:05:42,315,,0.033,8.16,,-2.06,,8.36,0,,29.98,
2024-01-07 13:35:42,316,,0.031,8.14,,-1.87,,8.36,0,,30.151,
2024-01-07 14:05:42,317,,0.028,8.16,,-1.89,,8.32,0,,29.96,
2024-01-07 14:35:42,318,,0.027,8.14,,-1.78,,8.36,0,,30.204,
2024-01-07 15:05:42,319,,0.025,8.13,,-1.92,,8.33,0,,30.208,
2024-01-07 15:35:42,320,,0.025,8.14,,-1.66,,8.32,0,,30.138,
2024-01-07 16:05:42,321,,0.023,8.12,,-1.76,,8.33,0,,30.231,
2024-01-07 16:35:42,322,,0.021,8.13,,-1.84,,8.3,0,,30.1,
