,Timestamp,EXO ChlugL,EXO Depthm,EXO DOmgL,EXO DOPerSat,EXO pH,EXO Salpsu,EXO SpCondmScm,EXO TempC,EXO TurbNTU
54,2024/12/25 8:50,4.61,0.366,3.77,55.1,7.78,19.42,31.378,29.635,3.02
55,2024/12/25 9:00,3.84,0.365,3.58,52.13,7.73,18.72,30.349,29.536,4.95
56,2024/12/25 9:10,4.12,0.369,3.76,54.58,7.73,18.17,29.543,29.598,3.42
57,2024/12/25 9:20,3.63,0.37,3.56,51.65,7.71,18.16,29.525,29.548,4.1
58,2024/12/25 9:30,3.74,0.371,3.48,50.43,7.66,17.74,28.896,29.543,5.46
59,2024/12/25 9:40,5.35,0.376,3.8,55.36,7.71,18.01,29.309,29.79,4.34
60,2024/12/25 9:50,4.07,0.379,3.59,52.07,7.68,17.6,28.708,29.787,4.06
61,2024/12/25 10:00,3.76,0.375,3.46,50.12,7.66,17.38,28.371,29.758,4.22
62,2024/12/25 10:10,3.76,0.375,3.37,48.89,7.63,17.13,28.012,29.836,4.11
63,2024/12/25 10:20,3.51,0.369,3.37,48.83,7.63,17.07,27.91,29.847,4.49
64,2024/12/25 10:30,3.74,0.372,3.33,48.19,7.63,17.15,28.029,29.822,4.38
65,2024/12/25 10:40,3.96,0.369,3.36,48.64,7.63,17.18,28.073,29.809,4.32
66,2024/12/25 10:50,3.96,0.369,3.37,48.75,7.62,16.73,27.405,29.828,4.74
67,2024/12/25 11:00,4.26,0.367,3.37,48.43,7.57,15.73,25.911,29.875,5.16
68,2024/12/25 11:10,4.08,0.37,3.32,47.73,7.56,15.72,25.906,29.849,5.03
69,2024/12/25 11:20,3.79,0.367,3.16,45.49,7.57,16.14,26.527,29.825,4.34
70,2024/12/25 11:30,3.75,0.369,3.09,44.54,7.56,16.16,26.563,29.761,4.43
71,2024/12/25 11:40,3.53,0.365,3.06,43.88,7.54,15.66,25.811,29.716,4.53
72,2024/12/25 11:50,3.39,0.367,2.98,42.72,7.52,15.34,25.329,29.696,4.28
73,2024/12/25 11:50,3.39,0.367,2.98,42.72,7.52,15.34,25.329,29.696,4.28
74,2024/12/25 12:00,3.38,0.366,2.94,42.13,7.5,15.12,24.987,29.761,4.16
75,2024/12/25 12:10,3.54,0.368,2.89,41.35,7.49,14.96,24.76,29.811,4.12
76,2024/12/25 12:20,3.37,0.365,2.85,40.81,7.49,14.92,24.698,29.774,4.25
77,2024/12/25 12:30,3.32,0.363,2.83,40.43,7.47,14.73,24.404,29.741,4.28
78,2024/12/25 12:40,3.32,0.362,2.81,39.99,7.46,14.46,23.993,29.717,4.43
79,2024/12/25 12:50,3.41,0.364,2.83,40.33,7.44,14.04,23.363,29.8,4.44
80,2024/12/25 13:00,3.42,0.361,2.89,41.13,7.43,13.7,22.845,29.873,4.6
81,2024/12/25 13:10,3.38,0.352,2.84,40.34,7.42,13.59,22.675,29.852,4.77
82,2024/12/25 13:20,3.43,0.361,2.91,41.38,7.42,13.38,22.357,29.855,4.74
83,2024/12/25 13:30,3.51,0.361,2.92,41.4,7.42,13.16,22.012,29.845,4.8
84,2024/12/25 13:40,3.33,0.358,2.89,40.93,7.41,13.11,21.947,29.872,5.0
85,2024/12/25 13:50,3.41,0.36,2.91,41.25,7.4,12.81,21.488,29.869,5.0
86,2024/12/25 14:00,3.44,0.359,2.97,42.01,7.4,12.52,21.043,29.936,5.04
87,2024/12/25 14:10,3.41,0.358,3.0,42.52,7.39,12.24,20.613,30.056,4.87
88,2024/12/25 14:20,3.43,0.352,3.02,42.86,7.39,12.34,20.766,30.083,5.09
89,2024/12/25 14:30,3.52,0.353,3.07,43.62,7.38,12.32,20.73,30.128,5.07
90,2024/12/25 14:40,3.36,0.349,3.06,43.41,7.38,12.34,20.772,30.216,5.11
91,2024/12/25 14:50,3.47,0.348,3.06,43.49,7.39,12.55,21.087,30.238,5.32
92,2024/12/25 15:00,3.35,0.344,3.06,43.65,7.4,12.82,21.505,30.308,5.1
93,2024/12/25 15:10,3.4,0.348,3.11,44.41,7.41,12.89,21.612,30.255,4.8
94,2024/12/25 15:20,3.43,0.345,3.14,44.9,7.41,13.08,21.906,30.315,4.91
95,2024/12/25 15:30,3.42,0.351,3.15,44.96,7.41,13.08,21.912,30.339,4.84
96,2024/12/25 15:40,3.59,0.348,3.14,44.87,7.42,13.18,22.054,30.279,4.76
97,2024/12/25 15:50,3.47,0.347,3.16,45.2,7.42,13.24,22.159,30.252,4.82
98,2024/12/25 16:00,3.62,0.347,3.3,47.3,7.45,13.79,22.992,30.352,4.74
99,2024/12/25 16:10,3.65,0.346,3.4,48.85,7.46,13.83,23.054,30.432,4.91
100,2024/12/25 16:20,3.68,0.346,3.4,48.86,7.47,14.2,23.618,30.358,4.49
101,2024/12/25 16:30,3.7,0.349,3.41,49.04,7.47,14.06,23.404,30.348,4.53
102,2024/12/25 16:40,3.89,0.351,3.46,49.77,7.48,14.14,23.532,30.393,4.56
103,2024/12/25 16:50,4.07,0.351,3.63,52.43,7.51,14.53,24.121,30.484,4.63
104,2024/12/25 17:00,4.3,0.352,3.63,52.28,7.5,14.07,23.419,30.431,4.48
105,2024/12/25 17:10,5.16,0.356,3.8,54.98,7.53,14.78,24.502,30.466,4.6
106,2024/12/25 17:20,5.02,0.354,3.87,56.07,7.56,15.37,25.384,30.389,4.57
107,2024/12/25 17:30,5.13,0.353,3.88,56.12,7.54,15.07,24.936,30.376,4.48
108,2024/12/25 17:40,4.9,0.353,3.97,57.66,7.59,15.85,26.113,30.375,4.48
109,2024/12/25 17:50,4.74,0.358,3.97,57.55,7.58,15.75,25.957,30.357,4.32
110,2024/12/25 18:00,5.16,0.358,4.09,59.6,7.63,16.68,27.345,30.372,4.77
111,2024/12/25 18:10,5.01,0.36,4.1,59.74,7.63,16.6,27.233,30.374,4.63
112,2024/12/25 18:20,5.1,0.357,4.16,60.65,7.64,16.74,27.446,30.349,4.48
113,2024/12/25 18:30,4.95,0.36,4.18,61.06,7.65,17.16,28.063,30.339,4.38
114,2024/12/25 18:40,5.15,0.361,4.17,61.03,7.66,17.36,28.364,30.326,4.07
115,2024/12/25 18:50,4.8,0.362,3.99,58.14,7.64,16.5,27.088,30.326,3.87
116,2024/12/25 19:00,4.14,0.363,4.07,58.56,7.61,15.3,25.27,30.049,3.83
117,2024/12/25 19:10,4.3,0.364,4.04,58.78,7.62,16.49,27.063,30.336,3.93
118,2024/12/25 19:20,4.54,0.366,3.99,58.17,7.63,16.65,27.3,30.306,3.81
119,2024/12/25 19:30,4.27,0.366,4.02,58.59,7.64,16.86,27.616,30.321,3.65
120,2024/12/25 19:40,3.86,0.365,4.01,57.96,7.62,16.19,26.612,29.96,3.72
121,2024/12/25 19:50,3.99,0.367,4.02,58.04,7.62,16.21,26.64,29.965,3.81
122,2024/12/25 20:00,3.71,0.368,4.03,58.16,7.62,16.14,26.533,29.969,3.86
123,2024/12/25 20:10,3.52,0.371,3.9,56.18,7.59,15.53,25.612,29.96,4.12
124,2024/12/25 20:20,3.57,0.374,3.87,55.72,7.59,15.68,25.844,29.916,4.2
125,2024/12/25 20:30,3.52,0.374,3.93,56.42,7.59,15.49,25.545,29.814,3.97
126,2024/12/25 20:40,3.5,0.377,3.9,56.02,7.59,15.56,25.654,29.875,3.92
127,2024/12/25 20:50,3.44,0.378,3.89,55.8,7.58,15.31,25.283,29.835,4.03
128,2024/12/25 21:00,3.44,0.379,3.91,56.06,7.59,15.27,25.214,29.723,3.86
129,2024/12/25 21:10,3.43,0.381,3.86,55.1,7.58,15.17,25.062,29.635,3.8
130,2024/12/25 21:20,3.34,0.38,3.78,53.86,7.57,14.96,24.751,29.591,3.95
131,2024/12/25 21:30,3.24,0.384,3.54,50.79,7.56,15.41,25.434,29.713,3.76
132,2024/12/25 21:40,3.31,0.384,3.56,50.73,7.55,14.94,24.711,29.564,3.92
133,2024/12/25 21:50,3.24,0.386,3.62,51.45,7.55,14.64,24.259,29.513,3.94
134,2024/12/25 22:00,3.35,0.386,3.56,50.59,7.54,14.68,24.324,29.544,4.03
135,2024/12/25 22:10,3.25,0.387,3.47,49.24,7.53,14.46,23.986,29.505,3.99
136,2024/12/25 22:20,3.12,0.387,3.3,46.99,7.53,14.77,24.466,29.563,3.89
137,2024/12/25 22:30,3.22,0.39,3.27,46.49,7.52,14.58,24.166,29.534,4.19
138,2024/12/25 22:40,3.3,0.389,3.22,45.74,7.5,14.19,23.58,29.515,4.33
139,2024/12/25 22:50,3.29,0.388,3.09,43.84,7.48,13.9,23.136,29.565,4.27
140,2024/12/25 23:00,3.3,0.386,3.04,43.07,7.47,13.88,23.115,29.554,4.27
141,2024/12/25 23:10,3.16,0.386,2.94,41.71,7.45,13.75,22.915,29.571,4.07
142,2024/12/25 23:20,3.15,0.383,2.88,40.84,7.45,13.9,23.134,29.585,4.26
143,2024/12/25 23:30,3.19,0.384,2.83,40.08,7.44,13.74,22.904,29.609,4.23
144,2024/12/25 23:40,3.3,0.381,2.77,39.24,7.43,13.55,22.608,29.628,4.47
145,2024/12/25 23:50,3.24,0.382,2.77,39.13,7.42,13.27,22.179,29.608,4.37
146,2024/12/26 0:00,3.24,0.379,2.74,38.69,7.4,12.92,21.648,29.62,4.54
147,2024/12/26 0:10,3.28,0.38,2.73,38.45,7.39,12.54,21.065,29.595,4.67
148,2024/12/26 0:20,3.35,0.378,2.72,38.22,7.38,12.38,20.819,29.592,4.89
149,2024/12/26 0:30,3.26,0.378,2.71,38.04,7.38,12.04,20.296,29.632,4.9
150,2024/12/26 0:40,3.39,0.376,2.7,37.87,7.36,11.72,19.791,29.609,5.1
151,2024/12/26 0:50,3.42,0.377,2.7,37.79,7.35,11.32,19.178,29.578,5.62
152,2024/12/26 1:00,3.57,0.374,2.72,37.94,7.34,10.76,18.296,29.572,5.83
153,2024/12/26 1:10,3.61,0.375,2.76,38.31,7.33,10.3,17.578,29.595,5.81
154,2024/12/26 1:20,3.72,0.372,2.8,38.84,7.32,9.68,16.602,29.57,6.16
155,2024/12/26 1:30,3.71,0.372,2.81,38.91,7.31,9.39,16.146,29.594,6.45
156,2024/12/26 1:40,3.84,0.369,2.85,39.34,7.3,8.89,15.354,29.581,6.65
157,2024/12/26 1:50,3.87,0.369,2.88,39.69,7.3,8.46,14.665,29.598,6.85
158,2024/12/26 2:00,3.92,0.366,2.94,40.33,7.29,7.93,13.818,29.589,7.32
159,2024/12/26 2:10,3.96,0.364,3.04,41.53,7.28,7.17,12.582,29.526,7.63
160,2024/12/26 2:20,4.0,0.363,3.01,41.08,7.27,7.39,12.939,29.542,7.73
161,2024/12/26 2:30,4.03,0.362,3.03,41.3,7.26,7.11,12.486,29.558,7.69
162,2024/12/26 2:40,4.18,0.361,3.06,41.67,7.26,6.88,12.11,29.529,7.8
163,2024/12/26 2:50,4.31,0.362,3.04,41.38,7.25,6.38,11.293,29.567,7.67
164,2024/12/26 3:00,4.16,0.358,2.82,38.89,7.28,9.27,15.95,29.519,6.28
165,2024/12/26 3:10,4.03,0.36,2.75,38.23,7.3,10.21,17.434,29.531,6.14
166,2024/12/26 3:20,3.91,0.359,2.81,39.02,7.31,10.15,17.35,29.49,6.17
167,2024/12/26 3:30,3.89,0.361,2.83,39.19,7.32,10.19,17.409,29.446,5.91
168,2024/12/26 3:40,3.84,0.362,2.83,39.23,7.32,10.07,17.22,29.449,6.01
169,2024/12/26 3:50,3.82,0.362,2.94,40.71,7.33,10.4,17.73,29.23,5.61
170,2024/12/26 4:00,3.9,0.362,3.01,41.6,7.35,10.48,17.847,29.088,5.24
171,2024/12/26 4:10,3.86,0.366,2.99,41.25,7.35,10.65,18.115,29.128,5.11
172,2024/12/26 4:20,3.97,0.365,2.98,41.36,7.37,11.69,19.744,29.135,4.69
173,2024/12/26 4:30,3.8,0.368,3.04,42.21,7.39,11.93,20.102,28.981,4.63
174,2024/12/26 4:40,3.95,0.369,3.12,43.91,7.45,14.17,23.535,28.99,4.39
175,2024/12/26 4:50,4.08,0.37,3.23,45.87,7.51,15.67,25.797,29.001,4.18
176,2024/12/26 5:00,3.95,0.37,3.36,47.68,7.55,16.12,26.469,28.928,3.91
177,2024/12/26 5:10,3.96,0.371,3.38,48.28,7.59,17.08,27.913,29.059,3.95
178,2024/12/26 5:20,3.99,0.371,3.36,48.39,7.62,17.8,28.983,29.2,3.99
179,2024/12/26 5:30,3.92,0.371,3.41,49.11,7.64,17.79,28.961,29.182,3.76
180,2024/12/26 5:40,3.82,0.371,3.44,49.76,7.67,18.6,30.163,29.244,3.79
181,2024/12/26 5:50,3.87,0.372,3.49,50.85,7.71,19.68,31.749,29.339,3.78
182,2024/12/26 6:00,3.97,0.371,3.48,51.0,7.73,20.08,32.341,29.457,3.85
183,2024/12/26 6:10,3.64,0.374,3.51,51.63,7.76,20.64,33.148,29.522,3.98
184,2024/12/26 6:20,3.43,0.376,3.56,52.7,7.8,21.56,34.496,29.605,3.92
185,2024/12/26 6:30,3.1,0.38,3.73,55.59,7.85,22.58,35.971,29.676,4.28
186,2024/12/26 6:40,2.89,0.38,3.87,57.73,7.89,23.07,36.67,29.627,4.67
187,2024/12/26 6:50,2.99,0.381,3.92,58.62,7.9,23.33,37.032,29.612,4.46
188,2024/12/26 7:00,2.97,0.38,3.99,59.74,7.91,23.61,37.435,29.582,7.35
189,2024/12/26 7:10,2.98,0.383,4.07,60.9,7.93,23.93,37.888,29.525,6.07
190,2024/12/26 7:20,3.49,0.382,4.1,61.31,7.93,23.71,37.578,29.467,4.18
191,2024/12/26 7:30,4.59,0.382,4.17,62.22,7.93,23.7,37.557,29.406,3.83
192,2024/12/26 7:40,3.81,0.382,4.24,63.47,7.95,24.18,38.244,29.403,4.18
193,2024/12/26 7:50,3.76,0.384,4.31,64.64,7.96,24.57,38.793,29.412,3.85
194,2024/12/26 8:00,3.72,0.384,4.36,65.54,7.98,24.91,39.284,29.424,4.28
195,2024/12/26 8:10,3.36,0.386,4.44,67.04,8.0,25.58,40.235,29.443,4.0
196,2024/12/26 8:20,3.3,0.386,4.54,68.7,8.03,26.07,40.927,29.422,4.02
197,2024/12/26 8:30,3.24,0.387,4.62,69.95,8.04,26.26,41.197,29.402,3.83
198,2024/12/26 8:40,3.6,0.385,4.68,70.94,8.05,26.4,41.384,29.418,3.5
199,2024/12/26 8:50,5.77,0.388,4.84,73.12,8.03,25.67,40.366,29.524,3.37
200,2024/12/26 9:00,5.85,0.389,4.81,72.5,8.01,25.09,39.54,29.594,3.22
201,2024/12/26 9:10,5.38,0.389,4.82,72.87,8.02,25.43,40.029,29.578,3.44
202,2024/12/26 9:20,5.78,0.387,4.53,68.27,7.99,24.8,39.139,29.58,3.74
203,2024/12/26 9:30,4.03,0.388,4.12,61.87,7.94,24.55,38.778,29.469,5.59
204,2024/12/26 9:40,3.62,0.386,4.13,61.94,7.92,24.27,38.38,29.47,5.96
205,2024/12/26 9:50,3.38,0.391,3.94,58.88,7.87,23.75,37.638,29.461,5.53
206,2024/12/26 10:00,3.34,0.394,3.86,57.6,7.86,23.56,37.367,29.418,5.58
207,2024/12/26 10:10,3.35,0.401,3.96,59.13,7.88,23.12,36.742,29.663,6.62
208,2024/12/26 10:20,3.78,0.399,3.76,55.84,7.83,22.04,35.189,29.638,7.54
209,2024/12/26 10:30,3.64,0.4,3.61,53.41,7.79,21.64,34.606,29.624,9.63
210,2024/12/26 10:40,3.48,0.394,3.49,51.57,7.74,21.3,34.108,29.555,10.32
211,2024/12/26 10:50,3.16,0.394,3.49,51.54,7.76,21.61,34.561,29.558,11.07
212,2024/12/26 11:00,3.16,0.393,3.47,51.36,7.75,21.42,34.285,29.643,9.17
213,2024/12/26 11:10,3.54,0.393,3.51,52.01,7.74,21.32,34.145,29.735,9.11
214,2024/12/26 11:20,3.65,0.389,3.4,50.19,7.71,20.85,33.472,29.703,10.96
215,2024/12/26 11:30,3.86,0.389,3.34,49.22,7.69,20.5,32.964,29.752,9.22
216,2024/12/26 11:40,3.46,0.384,3.31,48.77,7.68,20.34,32.734,29.782,9.14
217,2024/12/26 11:50,3.22,0.388,3.28,48.38,7.67,20.4,32.81,29.774,8.65
218,2024/12/26 11:50,3.22,0.388,3.28,48.38,7.67,20.4,32.81,29.774,8.65
219,2024/12/26 12:00,3.33,0.384,3.24,47.66,7.65,19.96,32.178,29.807,7.39
220,2024/12/26 12:10,3.45,0.383,3.19,46.78,7.62,19.44,31.413,29.858,7.58
221,2024/12/26 12:20,3.39,0.381,3.19,46.92,7.62,19.38,31.329,29.904,5.27
222,2024/12/26 12:30,3.2,0.382,3.14,46.01,7.6,19.0,30.774,29.887,4.53
223,2024/12/26 12:40,3.52,0.38,3.15,45.97,7.57,18.46,29.982,29.856,5.51
224,2024/12/26 12:50,3.17,0.379,3.07,44.79,7.56,18.38,29.862,29.895,4.98
225,2024/12/26 13:00,3.09,0.378,3.03,44.16,7.55,18.15,29.513,29.891,4.88
226,2024/12/26 13:10,3.19,0.374,3.01,43.78,7.53,17.84,29.065,29.875,4.62
227,2024/12/26 13:20,3.31,0.371,2.98,43.31,7.52,17.51,28.572,29.887,4.87
228,2024/12/26 13:30,3.12,0.371,2.97,43.16,7.51,17.29,28.244,29.892,4.53
229,2024/12/26 13:40,3.12,0.367,2.96,42.99,7.5,17.08,27.937,29.913,4.58
230,2024/12/26 13:50,3.07,0.367,2.92,42.29,7.49,16.88,27.634,29.927,4.34
231,2024/12/26 14:00,3.03,0.364,2.92,42.25,7.48,16.66,27.309,29.935,4.27
232,2024/12/26 14:10,3.13,0.362,2.92,42.32,7.47,16.52,27.106,29.942,4.29
233,2024/12/26 14:20,3.13,0.358,2.93,42.32,7.46,16.29,26.761,29.996,4.22
234,2024/12/26 14:30,3.08,0.361,2.93,42.31,7.46,16.04,26.383,30.033,4.18
235,2024/12/26 14:40,2.96,0.36,2.94,42.49,7.45,15.82,26.055,30.104,4.14
236,2024/12/26 14:50,3.24,0.357,2.95,42.67,7.44,15.57,25.678,30.189,4.04
237,2024/12/26 15:00,3.17,0.355,2.99,43.17,7.43,15.47,25.535,30.221,4.2
238,2024/12/26 15:10,3.19,0.354,2.96,42.87,7.43,15.42,25.464,30.262,3.91
239,2024/12/26 15:20,3.44,0.353,3.04,44.05,7.41,15.25,25.207,30.425,3.98
240,2024/12/26 15:30,3.37,0.352,3.04,44.03,7.42,15.34,25.345,30.438,4.09
241,2024/12/26 15:40,3.66,0.351,3.02,43.82,7.41,15.23,25.185,30.472,3.88
242,2024/12/26 15:50,3.61,0.351,3.16,45.9,7.42,15.3,25.285,30.581,3.66
243,2024/12/26 16:00,3.6,0.352,3.1,45.1,7.42,15.49,25.576,30.622,3.88
244,2024/12/26 16:10,3.65,0.353,3.13,45.58,7.43,15.79,26.025,30.635,4.04
245,2024/12/26 16:20,3.74,0.35,3.14,45.85,7.44,15.94,26.25,30.583,4.22
246,2024/12/26 16:30,4.29,0.349,3.23,47.31,7.46,16.52,27.123,30.619,4.12
247,2024/12/26 16:40,4.61,0.35,3.3,48.23,7.47,16.36,26.88,30.639,5.21
248,2024/12/26 16:50,4.68,0.35,3.42,50.3,7.5,16.76,27.487,30.771,4.06
249,2024/12/26 17:00,4.68,0.348,3.45,50.75,7.5,16.66,27.33,30.797,4.04
250,2024/12/26 17:10,4.84,0.349,3.51,51.45,7.49,16.3,26.789,30.716,3.69
251,2024/12/26 17:20,5.3,0.348,3.43,50.29,7.49,16.62,27.27,30.763,3.77
252,2024/12/26 17:30,5.12,0.351,3.5,51.38,7.51,16.63,27.296,30.761,3.85
253,2024/12/26 17:40,4.53,0.352,3.54,52.18,7.52,17.46,28.532,30.76,3.67
254,2024/12/26 17:50,4.46,0.353,3.63,53.61,7.54,17.64,28.798,30.841,3.84
255,2024/12/26 18:00,4.34,0.351,3.59,53.0,7.54,17.77,28.98,30.767,3.79
256,2024/12/26 18:10,4.18,0.354,3.58,52.99,7.55,18.02,29.347,30.731,3.67
257,2024/12/26 18:20,3.97,0.354,3.58,53.01,7.59,18.68,30.323,30.68,3.62
258,2024/12/26 18:30,4.43,0.357,3.74,55.42,7.6,18.58,30.184,30.747,3.71
259,2024/12/26 18:40,4.65,0.358,3.86,57.26,7.61,18.83,30.554,30.707,3.73
260,2024/12/26 18:50,4.75,0.361,3.86,57.23,7.6,18.48,30.039,30.688,3.63
261,2024/12/26 19:00,4.73,0.36,3.91,58.0,7.61,18.95,30.721,30.653,3.76
262,2024/12/26 19:10,4.72,0.361,3.98,59.18,7.63,19.32,31.272,30.636,3.64
263,2024/12/26 19:20,4.74,0.361,3.99,59.34,7.64,19.52,31.565,30.601,3.54
264,2024/12/26 19:30,5.15,0.363,3.89,57.87,7.63,19.57,31.635,30.593,3.66
265,2024/12/26 19:40,5.06,0.363,3.82,56.49,7.6,18.74,30.415,30.568,3.32
266,2024/12/26 19:50,4.7,0.365,3.94,58.41,7.61,19.2,31.08,30.55,3.47
267,2024/12/26 20:00,4.29,0.363,3.84,56.71,7.6,18.64,30.26,30.46,3.35
268,2024/12/26 20:10,4.09,0.366,3.8,56.19,7.6,18.64,30.264,30.58,3.23
269,2024/12/26 20:20,4.1,0.366,3.89,57.18,7.62,18.63,30.235,30.22,3.31
270,2024/12/26 20:30,4.01,0.368,3.84,56.35,7.62,18.64,30.249,30.12,3.3
271,2024/12/26 20:40,3.71,0.368,3.8,55.62,7.62,18.62,30.208,29.928,3.51
272,2024/12/26 20:50,3.89,0.37,3.62,53.21,7.6,18.58,30.168,30.184,3.73
273,2024/12/26 21:00,3.76,0.368,3.65,53.13,7.58,17.87,29.107,29.848,3.79
274,2024/12/26 21:10,3.46,0.37,3.73,54.14,7.58,17.62,28.728,29.7,3.58
275,2024/12/26 21:20,3.48,0.37,3.69,53.62,7.58,17.95,29.216,29.732,3.6
276,2024/12/26 21:30,3.38,0.374,3.64,52.77,7.57,17.7,28.847,29.749,3.74
277,2024/12/26 21:40,3.35,0.374,3.59,52.05,7.57,17.6,28.697,29.739,3.69
278,2024/12/26 21:50,3.28,0.378,3.55,51.47,7.57,17.51,28.563,29.693,3.61
279,2024/12/26 22:00,3.26,0.377,3.42,49.47,7.55,17.32,28.282,29.676,3.91
280,2024/12/26 22:10,3.11,0.379,3.35,48.44,7.54,17.37,28.354,29.669,3.75
281,2024/12/26 22:20,3.17,0.381,3.26,46.92,7.51,16.54,27.114,29.62,4.15
282,2024/12/26 22:30,3.18,0.383,3.31,47.74,7.52,16.63,27.253,29.636,3.61
