,Location,SURVEY_DATE,Time_HHMMSS,Depth_m,Chlorophyll-a (ug/L),Dissolved Oxygen concentration (mg/L),Dissolved Oxygen % saturation (%),pH (Unit),Salinity (PSU),Specific Conductance at 25 deg C (mS/cm),Temperature (deg C),Turbidity (NTU)
27,1,4/07/2008,103800,2.0,,7.0,86.3,7.72,23.9,37.7,18.93,6.0
28,1,4/07/2008,103800,4.0,,7.0,86.5,7.71,23.9,37.7,18.91,5.0
30,1,31/07/2008,83400,0.2,,8.3,87.7,7.6,8.13,14.0,15.44,19.0
31,1,31/07/2008,83400,2.0,,8.3,87.5,7.61,8.27,14.3,15.49,21.0
32,1,31/07/2008,83400,4.0,,8.3,87.4,7.62,8.4,14.5,15.52,31.0
33,1,2/09/2008,103800,0.2,1.3,6.5,86.0,7.69,27.2,42.4,21.49,4.0
34,1,2/09/2008,103800,2.0,,6.4,85.7,7.71,27.6,42.8,21.45,4.0
35,1,2/09/2008,103800,3.5,,6.4,85.6,7.72,27.7,43.0,21.45,5.0
36,1,25/11/2008,80900,0.2,2.3,6.2,91.6,7.82,31.7,48.6,25.67,3.0
37,1,25/11/2008,80900,2.0,,6.2,91.1,7.81,31.9,48.9,25.53,4.0
38,1,25/11/2008,80900,3.5,,6.2,90.8,7.81,31.9,48.9,25.52,5.0
39,1,15/12/2008,113800,0.2,2.5,5.8,91.2,7.6,34.5,52.4,28.64,8.0
40,1,15/12/2008,113800,2.0,,5.8,91.0,7.71,35.0,53.0,28.57,5.0
41,1,15/12/2008,113800,3.0,,5.8,90.7,7.71,35.0,53.0,28.59,9.0
43,1,26/02/2009,93800,0.2,7.7,6.4,85.9,7.45,12.9,21.4,26.87,9.0
44,1,26/02/2009,93800,2.0,,6.3,85.6,7.47,13.6,22.6,26.91,13.0
45,1,26/02/2009,93800,4.0,,6.3,84.9,7.48,13.8,22.9,26.92,21.0
46,1,29/04/2009,124400,0.2,2.3,7.1,94.8,7.62,22.5,35.7,23.65,4.0
47,1,29/04/2009,124400,2.0,,7.1,95.7,7.62,22.6,35.8,23.62,4.0
48,1,29/04/2009,124400,3.5,,7.2,96.3,7.62,22.6,35.8,23.62,4.0
49,1,28/05/2009,120400,0.2,2.7,6.9,91.0,7.67,27.9,43.3,20.62,3.0
50,1,28/05/2009,120400,2.0,,7.0,92.1,7.67,27.9,43.3,20.66,4.0
51,1,28/05/2009,120400,4.0,,7.0,92.2,7.67,27.9,43.3,20.64,4.0
52,1,28/05/2009,120400,5.0,,7.0,92.1,7.68,27.9,43.3,20.63,3.0
53,1,28/05/2009,120400,6.0,,7.0,91.9,7.69,27.9,43.3,20.63,3.0
54,1,25/06/2009,111700,0.2,0.1,7.1,92.5,7.68,30.6,47.0,19.68,3.0
55,1,25/06/2009,111700,2.0,,7.1,92.4,7.68,30.7,47.2,19.69,3.0
56,1,25/06/2009,111700,4.0,,7.0,92.3,7.69,30.7,47.3,19.69,3.0
57,1,25/06/2009,111700,5.0,,7.0,92.1,7.67,30.6,47.1,19.65,4.0
58,1,23/07/2009,103700,0.2,1.3,7.6,99.7,7.56,33.2,50.7,18.83,3.0
59,1,23/07/2009,103700,2.0,,7.4,96.4,7.55,33.3,50.7,18.78,3.0
60,1,19/08/2009,90700,0.2,,7.4,99.6,7.82,34.0,51.7,19.87,6.0
62,1,19/08/2009,90700,2.0,,7.4,99.2,7.81,34.0,51.7,19.88,6.0
63,1,19/08/2009,90700,3.5,,7.4,99.1,7.8,34.0,51.7,19.88,8.0
64,1,18/09/2009,90900,0.2,1.0,6.1,87.4,7.7,36.0,54.4,23.21,3.0
65,1,18/09/2009,90900,2.0,,6.1,88.2,7.76,36.2,54.6,23.53,2.0
66,1,18/09/2009,90900,3.0,,6.1,88.3,7.76,36.2,54.6,23.54,2.0
67,1,19/10/2009,110500,0.2,2.0,6.5,94.4,7.96,37.4,56.2,23.3,3.0
68,1,19/10/2009,110500,2.0,,6.6,95.3,7.96,37.4,56.3,23.28,3.0
69,1,19/10/2009,110500,4.0,,6.6,96.0,7.97,37.4,56.3,23.22,6.0
70,1,18/11/2009,103500,0.2,1.7,6.0,92.9,7.91,38.8,58.0,26.75,3.0
71,1,18/11/2009,103500,2.0,,6.0,92.7,7.9,38.8,58.0,26.75,3.0
72,1,18/11/2009,103500,3.5,,5.8,90.3,7.9,38.8,58.0,26.73,5.0
73,1,16/12/2009,93100,0.2,1.0,5.4,86.7,7.88,39.6,59.0,28.07,2.0
74,1,16/12/2009,93100,2.0,,5.4,86.4,7.87,39.7,59.1,28.08,4.0
75,1,16/12/2009,93100,3.5,,5.4,86.0,7.87,39.7,59.1,28.09,4.0
76,1,21/01/2010,124400,0.2,0.6,6.5,99.1,7.96,28.1,43.5,29.15,2.0
77,1,21/01/2010,124400,2.0,,6.4,98.0,7.95,28.2,43.8,29.07,2.0
78,1,21/01/2010,124400,2.5,,6.4,96.9,7.95,28.2,43.7,29.07,3.0
79,1,16/02/2010,103800,0.2,9.2,5.0,69.7,7.27,11.9,20.0,28.74,8.0
80,1,16/02/2010,103800,2.0,,5.0,69.3,7.3,13.8,22.9,28.75,8.0
81,1,16/02/2010,103800,4.0,,4.6,64.9,7.29,14.4,23.8,28.77,8.0
82,1,18/03/2010,105300,0.2,6.3,6.2,77.1,7.19,6.92,12.1,24.58,15.0
83,1,18/03/2010,105300,2.0,,6.1,76.3,7.18,7.01,12.2,24.53,16.0
84,1,18/03/2010,105300,3.0,,6.0,75.2,7.16,7.08,12.4,24.46,23.0
85,1,19/04/2010,124600,0.2,3.0,5.6,76.0,7.42,23.4,36.9,24.04,3.0
86,1,19/04/2010,124600,1.5,,5.5,75.1,7.36,23.4,37.0,24.04,3.0
87,1,26/05/2010,83900,0.2,1.9,6.7,88.8,7.88,30.8,47.3,20.52,2.0
88,1,26/05/2010,83900,2.0,,6.7,88.9,7.89,30.9,47.5,20.5,3.0
89,1,23/06/2010,73000,0.2,1.2,7.7,97.9,8.12,32.0,49.0,17.9,2.0
90,1,23/06/2010,73000,2.0,,7.7,98.0,8.11,32.1,49.1,17.91,2.0
91,1,23/06/2010,73000,4.0,,7.7,98.2,8.11,32.1,49.1,17.91,2.0
92,1,28/07/2010,102600,0.2,0.4,7.2,95.7,7.93,34.2,51.9,18.97,2.0
93,1,28/07/2010,102600,2.0,,7.3,96.0,8.04,34.2,52.0,18.87,2.0
94,1,28/07/2010,102600,3.5,,7.3,95.9,8.04,34.3,52.1,18.88,3.0
95,1,26/08/2010,100400,0.2,1.5,6.7,84.5,8.21,29.4,45.3,18.19,4.0
96,1,26/08/2010,100400,2.0,,6.7,84.6,8.22,29.5,45.5,18.24,4.0
97,1,26/08/2010,100400,3.0,,6.7,85.1,8.24,29.9,46.1,18.3,9.0
98,1,22/09/2010,85500,0.2,1.1,6.5,87.4,8.05,29.4,45.4,21.72,3.0
99,1,22/09/2010,85500,2.0,,6.4,86.5,8.07,29.5,45.5,21.73,3.0
100,1,27/10/2010,120900,0.2,,6.5,94.4,7.92,30.0,46.2,25.73,2.0
101,1,27/10/2010,120900,2.0,,6.4,92.1,7.92,30.1,46.3,25.55,2.0
102,1,27/10/2010,120900,4.0,,6.3,91.9,7.92,30.2,46.5,25.58,1.0
103,1,24/11/2010,104900,0.2,0.6,6.7,94.2,7.64,31.5,48.3,23.49,2.0
104,1,24/11/2010,104900,2.0,,6.7,94.7,7.63,32.4,49.6,23.13,2.0
105,1,24/11/2010,104900,4.0,,6.7,95.1,7.63,32.6,49.8,23.12,3.0
106,1,24/11/2010,104900,5.5,,6.7,95.0,7.61,32.6,49.8,23.11,4.0
107,1,16/12/2010,71000,0.2,,6.0,72.9,6.13,0.295,0.586,25.05,107.0
108,1,16/12/2010,71000,2.0,,6.0,72.2,6.09,0.322,0.638,24.94,110.0
109,1,1/02/2011,93900,0.2,31.5,6.5,85.0,7.17,6.0,10.6,27.48,37.0
110,1,1/02/2011,93900,2.0,,6.4,85.2,7.32,8.62,14.8,27.31,36.0
111,1,1/02/2011,93900,3.0,,6.4,84.8,7.33,8.81,15.1,27.31,49.0
112,1,23/02/2011,122000,0.2,10.7,7.2,100.3,7.89,20.2,32.4,26.33,28.0
113,1,23/02/2011,122000,1.5,,6.8,94.3,7.9,20.2,32.4,26.34,46.0
114,1,23/03/2011,120200,0.2,1.0,6.3,79.2,6.11,0.08,0.16,26.93,139.0
115,1,23/03/2011,120200,2.0,,6.4,79.2,6.06,0.071,0.143,26.08,148.0
116,1,23/03/2011,120200,4.0,,6.4,78.8,6.02,0.08,0.161,25.99,149.0
117,1,25/05/2011,143500,0.2,1.2,7.3,90.8,7.64,18.1,29.3,21.12,7.0
118,1,25/05/2011,143500,2.0,,7.2,89.5,7.63,18.6,30.0,21.03,8.0
119,1,9/06/2011,151400,0.2,2.4,7.6,95.0,8.04,23.6,37.2,19.34,6.0
120,1,9/06/2011,151400,2.0,,7.5,93.7,7.98,23.8,37.5,19.39,6.0
121,1,9/06/2011,151400,4.0,,7.4,92.6,7.97,23.9,37.7,19.44,6.0
122,1,6/07/2011,124800,0.2,0.8,8.3,102.0,7.6,28.5,44.1,17.27,3.0
123,1,6/07/2011,124800,2.0,,8.2,101.8,7.6,28.7,44.5,17.29,3.0
124,1,6/07/2011,124800,4.0,,8.2,101.7,7.6,28.9,44.7,17.3,4.0
125,1,28/09/2011,104400,0.2,5.0,6.5,89.6,7.76,33.1,50.4,21.93,21.0
126,1,28/09/2011,104400,2.0,,6.5,89.6,7.75,33.1,50.4,21.91,18.0
127,1,28/09/2011,104400,4.0,,6.5,89.5,7.75,33.1,50.5,21.87,25.0
128,1,28/10/2011,95400,0.2,2.4,6.0,89.0,7.84,34.1,51.9,25.34,11.0
129,1,28/10/2011,95400,2.0,,6.0,88.6,7.85,34.3,52.1,25.3,14.7
130,1,28/10/2011,95400,4.0,,6.0,89.2,7.89,34.6,52.5,25.28,14.8
131,1,23/11/2011,73500,0.2,1.6,6.0,92.1,7.97,36.0,54.3,27.18,3.0
132,1,23/11/2011,73500,2.0,,6.0,92.1,7.97,36.0,54.4,27.17,3.0
133,1,14/12/2011,105300,0.2,0.7,5.4,68.4,7.19,5.88,10.4,26.03,27.2
134,1,14/12/2011,105300,2.0,,5.3,67.5,7.16,5.91,10.5,25.88,42.6
135,1,12/01/2012,103500,0.2,3.4,5.8,87.3,7.85,27.5,42.8,28.9,7.8
136,1,12/01/2012,103500,2.0,,5.8,87.3,7.9,28.1,43.5,28.85,12.6
137,1,12/01/2012,103500,4.0,,5.7,86.7,7.9,28.2,43.7,28.86,12.9
138,1,9/02/2012,100000,0.2,4.8,5.0,67.0,7.4,6.2,10.9,28.37,25.6
139,1,9/02/2012,100000,2.0,,5.0,66.0,7.37,7.04,12.3,28.2,28.4
140,1,9/02/2012,100000,4.0,,4.9,66.1,7.37,8.76,15.1,28.22,36.7
141,1,7/03/2012,85800,0.2,1.5,6.6,79.2,6.54,0.234,0.465,24.76,98.5
142,1,7/03/2012,85800,2.0,,6.5,78.9,6.52,0.24,0.478,24.76,95.1
143,1,7/03/2012,85800,4.0,,6.5,78.6,6.52,0.261,0.52,24.79,89.8
144,1,29/03/2012,124600,0.2,1.3,7.3,87.5,6.87,0.41,0.812,24.51,98.7
145,1,29/03/2012,124600,2.0,,7.2,86.4,6.83,0.407,0.805,24.34,98.0
146,1,29/03/2012,124600,3.0,,7.2,86.3,6.83,0.407,0.806,24.17,98.1
147,1,4/05/2012,75900,0.2,2.8,6.5,83.8,7.7,20.5,32.8,22.4,14.0
148,1,4/05/2012,75900,2.0,,6.4,83.0,7.72,20.7,33.1,22.4,14.4
149,1,4/05/2012,75900,4.0,,6.4,82.9,7.72,20.7,33.1,22.4,20.5
150,1,7/06/2012,112400,0.2,3.4,7.9,84.9,7.39,6.62,11.6,17.1,27.4
151,1,7/06/2012,112400,2.0,,7.8,84.0,7.38,6.81,11.9,16.99,32.0
152,1,4/07/2012,103300,0.2,1.6,7.7,82.9,7.51,8.14,14.1,16.39,26.0
153,1,4/07/2012,103300,2.0,,7.7,82.9,7.51,8.14,14.1,16.39,24.0
154,1,4/07/2012,103300,3.5,,7.7,82.7,7.52,8.14,14.1,16.36,32.0
155,1,1/08/2012,91900,0.2,0.9,7.7,87.9,7.42,15.1,24.9,17.2,9.7
156,1,1/08/2012,91900,2.0,,7.6,87.0,7.45,15.4,25.3,17.2,10.5
157,1,1/08/2012,91900,4.0,,7.6,86.6,7.46,15.5,25.5,17.21,10.7
158,1,5/09/2012,121400,0.2,0.6,6.8,88.4,7.7,27.1,42.2,20.08,6.0
159,1,5/09/2012,121400,2.0,,6.8,87.9,7.71,27.3,42.5,19.84,4.0
160,1,5/09/2012,121400,4.0,,6.8,87.1,7.71,27.4,42.6,19.75,6.0
161,1,4/10/2012,110500,0.2,1.4,7.3,98.4,7.72,30.6,47.0,21.13,4.0
162,1,4/10/2012,110500,2.0,,7.3,97.8,7.73,30.7,47.2,21.06,3.0
163,1,4/10/2012,110500,4.0,,7.3,97.7,7.73,30.7,47.2,21.01,3.0
164,1,7/11/2012,152700,0.2,0.9,6.9,102.2,8.02,33.4,50.9,25.39,2.0
165,1,7/11/2012,152700,2.0,,6.9,101.5,8.02,33.4,50.9,25.31,2.0
166,1,7/11/2012,152700,4.0,,6.9,100.9,8.01,33.4,50.9,25.23,2.6
167,1,5/12/2012,130100,0.2,5.5,6.9,108.2,8.07,35.9,54.2,28.66,2.4
168,1,5/12/2012,130100,2.0,,6.8,107.6,8.08,35.9,54.2,28.63,2.7
169,1,5/12/2012,130100,3.0,,6.8,106.9,8.08,35.9,54.2,28.6,7.0
170,1,23/01/2013,80300,0.2,2.0,5.4,86.9,7.82,38.8,58.0,28.46,4.0
171,1,23/01/2013,80300,2.0,,5.5,87.1,7.84,38.8,58.1,28.42,3.6
172,1,23/01/2013,80300,3.0,,5.5,87.3,7.85,38.8,58.1,28.38,5.8
173,1,20/02/2013,80000,0.2,7.8,6.2,79.3,7.41,8.93,15.3,25.29,13.0
174,1,20/02/2013,80000,2.0,,6.2,78.7,7.4,8.9,15.3,25.28,13.9
175,1,20/02/2013,80000,4.0,,6.2,80.1,7.49,9.75,16.6,25.2,17.7
176,1,20/02/2013,80000,4.5,,6.2,79.9,7.48,9.82,16.7,25.2,18.2
177,1,20/03/2013,152600,0.2,1.5,6.8,83.3,7.38,5.15,9.19,24.46,25.0
178,1,20/03/2013,152600,2.0,,6.8,84.7,7.43,5.68,10.1,24.49,24.0
179,1,20/03/2013,152600,3.0,,6.8,84.8,7.45,5.9,10.4,24.45,25.7
180,1,17/04/2013,134100,0.2,1.5,6.8,90.1,7.65,14.6,24.1,25.73,4.5
181,1,17/04/2013,134100,2.0,,6.4,85.5,7.67,17.3,28.1,25.4,2.8
182,1,17/04/2013,134100,3.5,,6.2,83.5,7.66,17.9,29.0,25.25,3.9
183,1,22/05/2013,80600,0.2,0.7,7.1,89.3,7.84,25.2,39.6,19.2,3.4
184,1,22/05/2013,80600,2.0,,7.1,89.0,7.85,25.3,39.7,19.2,2.9
185,1,22/05/2013,80600,4.0,,7.1,89.0,7.85,25.3,39.7,19.2,3.0
186,1,22/05/2013,80600,5.5,,7.1,89.1,7.86,25.4,39.8,19.19,2.7
187,1,26/06/2013,120700,0.2,1.2,7.5,91.7,7.8,29.5,45.5,16.34,3.1
188,1,26/06/2013,120700,2.0,,7.5,91.5,7.8,29.5,45.5,16.34,3.1
189,1,26/06/2013,120700,3.5,,7.5,91.2,7.8,29.5,45.5,16.34,2.4
190,1,24/07/2013,112000,0.2,0.9,7.0,89.3,7.91,30.1,46.4,18.62,8.6
191,1,24/07/2013,112000,2.0,,7.0,89.3,7.92,30.2,46.5,18.62,8.1
192,1,24/07/2013,112000,4.0,,6.9,88.7,7.93,30.3,46.6,18.56,7.2
193,1,22/08/2013,104200,0.2,1.4,7.0,90.1,7.89,31.9,48.8,18.67,3.4
194,1,22/08/2013,104200,2.0,,7.0,90.0,7.89,31.9,48.8,18.66,3.5
195,1,22/08/2013,104200,3.0,,7.0,90.0,7.89,31.9,48.8,18.66,4.7
196,1,19/09/2013,90300,0.2,4.3,6.1,89.4,7.93,35.3,53.5,24.44,7.4
197,1,19/09/2013,90300,2.0,,6.1,89.3,7.93,35.3,53.5,24.44,7.7
198,1,19/09/2013,90300,4.0,,6.1,89.0,7.93,35.4,53.5,24.42,9.1
199,1,22/10/2013,121600,0.2,0.8,6.6,99.2,7.97,36.4,55.0,25.15,3.3
200,1,22/10/2013,121600,2.0,,6.6,99.1,7.97,36.4,55.0,25.09,3.3
201,1,22/10/2013,121600,3.0,,6.6,98.9,7.97,36.4,55.0,25.09,4.5
202,1,20/11/2013,103300,0.2,2.8,6.1,94.4,7.95,37.0,55.7,26.67,4.6
203,1,20/11/2013,103300,2.0,,6.1,94.4,7.97,37.0,55.7,26.67,5.6
204,1,17/12/2013,92900,0.2,1.6,5.9,90.8,8.03,37.5,56.4,26.69,8.3
205,1,17/12/2013,92900,2.0,,5.9,90.6,8.03,37.5,56.4,26.68,8.9
206,1,17/12/2013,92900,4.0,,5.9,90.4,8.03,37.5,56.4,26.68,11.3
207,2,24/03/1994,154500,0.2,,5.1,62.4,7.1,1.2,2.32,25.2,66.0
209,2,24/03/1994,154500,2.0,,4.7,56.7,7.0,1.79,3.41,24.3,61.0
210,2,24/03/1994,154500,3.5,,5.6,69.6,7.6,9.74,16.6,23.4,14.0
212,2,21/04/1994,83200,0.2,,5.1,65.3,7.73,16.4,26.8,23.1,7.0
213,2,21/04/1994,83200,2.0,,4.9,63.2,7.72,17.1,27.8,23.1,10.0
214,2,21/04/1994,83200,4.0,,4.8,62.4,7.75,19.1,30.7,23.3,8.0
215,2,17/05/1994,92300,0.2,,5.9,74.6,8.07,22.5,35.7,20.7,5.0
217,2,17/05/1994,92300,2.0,,5.7,72.6,8.07,23.7,37.4,20.8,3.0
218,2,17/05/1994,92300,3.0,,5.9,77.7,8.22,28.3,43.8,20.9,2.0
220,2,21/06/1994,84200,0.2,,6.6,83.0,7.9,28.1,43.6,18.1,6.0
221,2,21/06/1994,84200,2.0,,6.6,82.4,7.96,28.4,44.0,18.0,8.0
222,2,21/06/1994,84200,4.0,,6.5,81.8,7.97,28.7,44.4,18.0,9.0
224,2,21/07/1994,90100,0.2,,7.0,88.1,7.81,29.5,45.5,18.2,6.0
225,2,21/07/1994,90100,2.0,,6.9,87.9,7.81,29.8,45.9,18.2,6.0
226,2,21/07/1994,90100,4.0,,6.9,87.6,7.82,30.1,46.4,18.2,6.0
227,2,21/07/1994,90100,5.0,,6.9,87.6,7.83,30.3,46.6,18.2,8.0
229,2,23/08/1994,104300,0.2,,6.3,83.9,8.28,34.1,51.9,19.1,5.0
230,2,23/08/1994,104300,2.0,,6.3,83.5,8.31,34.3,52.2,18.9,6.0
231,2,23/08/1994,104300,4.0,,6.3,83.5,8.32,34.4,52.2,18.9,6.0
232,2,23/08/1994,104300,5.5,,6.3,83.6,8.34,34.5,52.3,18.9,6.0
234,2,20/09/1994,111500,0.2,,6.0,84.7,8.21,35.5,53.7,22.2,7.0
235,2,20/09/1994,111500,2.0,,6.0,84.3,8.21,35.7,54.0,22.0,9.0
236,2,20/09/1994,111500,4.0,,5.9,83.2,8.21,35.9,54.2,21.7,11.0
237,2,20/09/1994,111500,5.0,,6.0,83.1,8.18,35.9,54.2,21.5,15.0
239,2,18/10/1994,94400,0.2,,5.5,80.7,8.12,37.7,56.6,23.4,17.0
240,2,18/10/1994,94400,2.0,,5.6,81.1,8.12,37.7,56.6,23.4,11.0
241,2,18/10/1994,94400,4.0,,5.5,80.0,8.13,37.7,56.6,23.4,10.0
242,2,18/10/1994,94400,5.5,,5.5,80.0,8.13,37.7,56.6,23.4,13.0
243,2,15/11/1994,101000,0.2,,5.1,81.6,7.78,38.7,57.9,28.2,8.0
245,2,15/11/1994,101000,2.0,,5.1,80.2,7.82,38.8,58.1,27.8,11.0
246,2,15/11/1994,101000,4.0,,5.0,79.0,7.84,38.8,58.1,27.8,14.0
248,2,13/12/1994,84300,0.2,,4.8,74.5,7.86,39.3,58.6,26.2,13.0
249,2,13/12/1994,84300,2.0,,4.7,72.7,7.85,39.4,58.8,26.2,14.0
250,2,13/12/1994,84300,4.0,,4.7,72.2,7.86,39.4,58.7,26.2,14.0
251,2,13/12/1994,84300,5.0,,4.6,71.5,7.87,39.4,58.7,26.2,14.0
253,2,19/01/1995,72100,0.2,,3.0,48.4,7.8,40.2,59.7,28.0,18.0
254,2,19/01/1995,72100,2.0,,3.0,47.2,7.78,40.3,59.9,28.0,21.0
255,2,19/01/1995,72100,3.0,,3.0,47.3,7.76,40.3,59.9,28.0,22.0
256,2,14/02/1995,101700,0.2,,6.5,79.5,7.1,7.32,12.8,23.1,32.0
258,2,14/02/1995,101700,2.0,,6.0,73.4,7.17,9.07,15.5,23.2,38.0
259,2,14/02/1995,101700,4.0,,3.6,49.4,7.33,22.2,35.3,24.7,46.0
260,2,14/03/1995,91500,0.2,,5.6,75.4,7.6,11.4,19.2,27.2,17.0
262,2,14/03/1995,91500,2.0,,5.2,69.7,7.57,12.1,20.3,27.0,17.0
263,2,14/03/1995,91500,4.0,,5.1,68.3,7.57,12.6,21.0,26.9,21.0
264,2,12/04/1995,71200,0.2,3.8,5.1,65.8,7.7,17.1,27.9,23.2,8.0
265,2,12/04/1995,71200,2.0,,5.2,67.6,7.7,18.0,29.2,23.2,17.0
266,2,12/04/1995,71200,4.0,,5.3,68.3,7.7,18.2,29.4,23.2,13.0
267,2,12/04/1995,71200,5.5,,5.4,69.4,7.73,17.4,28.3,23.1,17.0
268,2,16/05/1995,105000,0.2,3.3,5.6,77.1,8.01,29.3,45.3,23.2,14.0
270,2,16/05/1995,105000,2.0,,5.5,76.0,8.0,29.8,45.9,23.1,16.0
271,2,16/05/1995,105000,4.0,,5.5,76.6,8.01,30.0,46.2,23.1,18.0
272,2,27/06/1995,95600,0.2,,6.5,82.6,7.93,30.4,46.7,17.8,4.0
274,2,27/06/1995,95600,2.0,,6.5,81.4,7.91,30.7,47.2,17.6,6.0
275,2,27/06/1995,95600,4.0,,6.4,80.7,7.9,31.0,47.5,17.5,6.0
276,2,25/07/1995,84100,0.2,,6.6,84.0,7.7,33.7,51.2,17.0,4.0
278,2,25/07/1995,84100,2.0,,6.7,85.7,7.78,34.2,52.0,17.0,5.0
279,2,25/07/1995,84100,4.0,,6.8,86.3,7.8,34.3,52.1,17.0,7.0
281,2,24/08/1995,82600,0.2,,6.1,85.6,7.94,35.3,53.5,21.6,5.0
283,2,24/08/1995,82600,2.0,,6.2,86.4,7.95,35.6,53.8,21.6,6.0
284,2,24/08/1995,82600,4.0,,6.2,86.0,7.96,35.6,53.8,21.6,8.0
285,2,19/09/1995,82100,0.2,,5.7,81.9,7.83,37.2,56.0,23.0,8.0
287,2,19/09/1995,82100,2.0,,5.4,78.2,7.8,37.2,56.0,23.0,10.0
288,2,19/09/1995,82100,3.5,,5.3,76.5,7.8,37.3,56.1,23.0,16.0
289,2,10/10/1995,91500,0.2,4.4,6.1,85.0,7.88,36.9,55.6,21.3,14.0
290,2,10/10/1995,91500,2.0,,6.2,86.3,7.89,37.1,55.9,21.3,29.0
291,2,10/10/1995,91500,4.0,,6.1,85.6,7.89,37.1,55.9,21.3,31.0
292,2,10/10/1995,91500,5.0,,6.1,85.4,7.89,37.1,55.9,21.3,38.0
294,2,9/11/1995,110000,0.2,,5.3,83.4,8.18,36.6,55.2,27.9,4.0
295,2,9/11/1995,110000,2.0,,5.4,84.4,8.2,36.7,55.3,27.3,5.0
296,2,9/11/1995,110000,4.0,,5.2,80.5,8.19,36.6,55.2,27.1,8.0
297,2,9/11/1995,110000,5.0,,5.2,80.2,8.19,36.7,55.3,27.1,11.0
299,2,5/12/1995,90500,0.2,,5.9,89.6,8.22,29.3,45.2,28.9,9.0
300,2,5/12/1995,90500,2.0,,5.7,87.2,8.22,31.7,48.6,28.5,9.0
301,2,5/12/1995,90500,4.0,,5.5,85.5,8.22,35.2,53.3,28.2,8.0
303,2,9/01/1996,103000,0.2,,5.4,66.9,6.79,1.1,2.13,25.9,97.0
304,2,9/01/1996,103000,2.0,,5.4,66.9,6.76,1.13,2.18,25.9,92.0
305,2,9/01/1996,103000,4.0,,5.4,66.9,6.74,1.16,2.24,25.9,87.0
306,2,9/01/1996,103000,5.0,,5.3,65.7,6.72,1.18,2.28,25.9,120.0
308,2,13/02/1996,112600,0.2,,7.2,96.3,7.88,6.65,11.7,28.7,17.0
309,2,13/02/1996,112600,2.0,,4.9,67.1,7.59,11.3,19.0,28.3,19.0
310,2,13/02/1996,112600,3.0,,4.8,66.1,7.59,14.4,23.7,27.7,34.0
311,2,12/03/1996,120000,0.2,7.9,6.5,88.6,7.69,20.2,32.3,25.0,8.0
312,2,12/03/1996,120000,2.0,,5.4,73.5,7.62,23.2,36.7,24.3,9.0
313,2,12/03/1996,120000,3.5,,5.4,74.0,7.66,25.7,40.2,23.8,11.0
